station,degree,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank,clustering_coefficient,is_articulation_point,zone,lines,is_interchange
Maharaja Surajmal Stadium,2,0.008,0.0443,0.0848,0.0,0.004,0,True,West Delhi,Green Line,False
Nangloi,2,0.008,0.0426,0.0774,0.0,0.004,0,True,West Delhi,Green Line,False
Nangloi Railway Station,2,0.008,0.041,0.07,0.0,0.004,0,True,West Delhi,Green Line,False
Rajdhani Park,2,0.008,0.0395,0.0624,0.0,0.004,0,True,West Delhi,Green Line,False
Mundka,2,0.008,0.0381,0.0549,0.0,0.004,0,True,West Delhi,Green Line,False
Mundka Industrial Area,2,0.008,0.0367,0.0472,0.0,0.004,0,True,West Delhi,Green Line,False
Ghevra Metro Station,2,0.008,0.0355,0.0395,0.0,0.0041,0,True,West Delhi,Green Line,False
Tikri Kalan,2,0.008,0.0343,0.0317,0.0,0.0041,0,True,West Delhi,Green Line,False
Tikri Border,2,0.008,0.0332,0.0239,0.0,0.0042,0,True,West Delhi,Green Line,False
Pandit Shree Ram Sharma,2,0.008,0.0322,0.016,0.0,0.0044,0,True,Bahadurgarh,Green Line,False
Bahadurgarh City,2,0.008,0.0312,0.008,0.0,0.0046,0,True,Bahadurgarh,Green Line,False
Brigadier Hoshiar Singh,1,0.004,0.0302,0.0,0.0,0.0026,0,False,Bahadurgarh,Green Line,False
Satguru Ram Singh Marg,2,0.008,0.0657,0.1047,0.0053,0.0035,0,False,West Delhi,Green Branch Line,False
Majlis Park,1,0.004,0.0575,0.0,0.0032,0.0021,0,False,North Delhi,Pink Line,False
Shalimar Bagh,2,0.008,0.0616,0.0439,0.006,0.0035,0,False,North West Delhi,Pink Line,False
Shakurpur,2,0.008,0.0636,0.0601,0.0041,0.0036,0,False,North West Delhi,Pink Line,False
Punjabi Bagh West,2,0.008,0.0649,0.0628,0.0034,0.0036,0,False,West Delhi,Pink Line,False
ESI Hospital,2,0.008,0.0669,0.0667,0.0047,0.0036,0,False,West Delhi,Pink Line,False
Maya Puri,2,0.008,0.0725,0.1455,0.0089,0.0036,0,False,West Delhi,Pink Line,False
